date,sweep_id,arch,instance_type,clone_run_index,image,kind,probe_index,wall_seconds,exit_code,notes
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,6,0.970,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,7,0.950,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,8,1.010,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,9,0.900,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,10,0.980,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,11,1.130,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,12,0.900,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,13,0.980,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,14,1.040,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,15,1.040,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,16,1.020,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,17,1.060,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,18,1.050,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,19,1.000,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,20,1.160,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
